OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS,SHAPE
4673157,04092010989,Los Tres Magueyes,110 SW MAYNARD RD ,,CARY,NC,27511-4402,(919) 460-8757,1992/01/16 00:00:00+00,Restaurant,468,-78.78312285,35.77217517,M,
4673158,04092010262,First Baptist Church,99 N SALISBURY ST ,,RALEIGH,NC,27603-1737,(919) 961-5953,1991/04/25 00:00:00+00,Restaurant,172,-78.64073856,35.78096884,M,
4673159,04092010870,Taylor's Convenience Store,10005 SIX FORKS RD ,,RALEIGH,NC,27615-1636,(919) 847-3069,1992/01/17 00:00:00+00,Restaurant,472,-78.65046954,35.91578847,M,
4673160,04092010851,Parkside,301 W MARTIN ST,,RALEIGH,NC,27601-1352,(984) 232-8969,1991/07/10 00:00:00+00,Restaurant,534,-78.64378688,35.77679384,M,
4673161,04092011099,Barrys Cafe,2851 Jones Franklin RD ,,RALEIGH,NC,27606-4346,(919) 859-3555,1992/05/18 00:00:00+00,Restaurant,549,-78.7377362,35.74360868,M,
4673162,04092011173,BOJANGLES #15,5409 CAPITAL BLVD ,,RALEIGH,NC,27616-2929,(919) 872-5820,1992/11/03 00:00:00+00,Restaurant,553,-78.582482,35.85985466,M,
4673163,04092011181,NC Farm Bureau Cafeteria,5301 GLENWOOD AVE ,,RALEIGH,NC,27612-3244,(919) 781-0547,1992/11/13 00:00:00+00,Restaurant,562,-78.69210811,35.84689265,M,
4673164,04092011048,NY Pizza,1831 N HARRISON AVE ,,CARY,NC,27513-2408,(919) 677-8484,1992/05/01 00:00:00+00,Restaurant,541,-78.76807773,35.82998314,M,
4673165,04092011192,Subway #12044,235 TIMBER DR,,GARNER,NC,27529-4870,(919) 779-6820,1992/12/01 00:00:00+00,Restaurant,574,-78.60613274,35.68500311,M,
4673166,04092011186,Kashin Restaurant,309 CROSSROADS BLVD ,,CARY,NC,27511-6894,(919) 851-7101,1992/11/25 00:00:00+00,Restaurant,571,-78.73871469,35.76064643,M,
4673167,04092012307,Starbucks,3101 EDWARDS MILL RD ,,RALEIGH,NC,27612-5303,(919) 789-4922,1998/08/07 00:00:00+00,Restaurant,601,-78.70695545,35.82544758,M,
4673168,04092110111,Carver Elementary Lunchroom,291 LILES DEAN RD ,,WENDELL,NC,27591-9034,(919) 365-2680 ext. 22963,1998/07/20 00:00:00+00,Public School Lunchrooms,645,-78.38664164,35.79067957,M,
4673169,04092013462,Paolo's,101 - 500 Keybridge St,,MORRISVILLE,NC,27560,(919) 678-9030,2001/11/26 00:00:00+00,Restaurant,617,-78.8227355,35.82037975,M,
4673170,04092020845,Papa John's,6470 TRYON RD ,,CARY,NC,27511-7050,(919) 851-5656,1998/06/29 00:00:00+00,Food Stand,723,-78.76135102,35.74433027,M,
4673171,04092010495,Milton's Pizza House,8853 SIX FORKS RD ,,RALEIGH,NC,27615-2970,(919) 847-0604,1991/05/09 00:00:00+00,Restaurant,711,-78.65461063,35.89932731,M,
4673172,04092012279,KANKI JAPANESE HOUSE OF STEAKS AND SUSHI,4325 Glenwood Ave ,,RALEIGH,NC,27612,(919) 782-9708,1998/07/30 00:00:00+00,Restaurant,731,-78.67900996,35.83931725,M,
4673173,04092010549,The Peddler Steak House,6005 GLENWOOD AVE ,,RALEIGH,NC,27612-2636,(919) 787-6980,1991/05/13 00:00:00+00,Restaurant,742,-78.70153994,35.85400324,M,
4673174,04092010617,Rex Hospital Cafeteria,4420 Lake Boone TRL ,,RALEIGH,NC,27607-6599,(919) 784-4173,1991/05/13 00:00:00+00,Restaurant,752,-78.70241812,35.81817357,M,
4673175,04092010815,Wildwood Green Snack Bar,3000 Ballybunion Way ,,RALEIGH,NC,27612,(919) 846-5380,1991/05/13 00:00:00+00,Restaurant,778,-78.68572854,35.91006573,M,
4673176,04092010708,Subway,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 787-7981,1991/05/13 00:00:00+00,Restaurant,766,-78.70472779,35.86043849,M,
4673177,04092012901,Links Grille At Lochmere,2511 KILDAIRE FARM RD,,CARY,NC,27511-9611,(919) 851-0611,1999/03/29 00:00:00+00,Restaurant,786,-78.76802053,35.72297344,M,
4673178,04092012900,Los Tres Vaqueros,7909-109 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-3348,(919) 846-6666,1999/03/26 00:00:00+00,Restaurant,785,-78.62599455,35.89329706,M,
4673179,04092021055,Food Lion #193 Deli,5633 CREEDMOOR RD,,RALEIGH,NC,27612-6316,(919) 781-0597,2001/02/26 00:00:00+00,Food Stand,823,-78.68200654,35.85879308,M,
4673180,04092012930,PTA Of Wake Forest,12277 CAPITAL BLVD ,,WAKE FOREST,NC,27587-6200,(919) 554-1400,1999/05/17 00:00:00+00,Restaurant,814,-78.54097708,35.98087662,M,
4673181,04092300192,Food Lion #536 Meat Market ,9101 - 107 Leesville Rd,,RALEIGH,NC,27613,,2001/01/01 00:00:00+00,Meat Market,834,-78.72548111,35.89676189,M,
4673182,04092021056,Cook Out #13,6505 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6814,(919) 862-8830,2001/02/23 00:00:00+00,Food Stand,832,-78.62236713,35.87165248,M,
4673183,04092013291,Biscuitville # 169,605 STELLATA DR ,,FUQUAY VARINA,NC,27526-1946,(919) 577-6380,2001/03/01 00:00:00+00,Restaurant,838,-78.78197903,35.5913653,M,
4673184,04092021058,Harris Teeter #90 Produce ,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 00:00:00+00,Food Stand,846,-78.72593594,35.90878681,M,
4673185,04092021059,Harris Teeter #90 Meat Market,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 00:00:00+00,Food Stand,847,-78.72593594,35.90878681,M,
4673186,04092010286,GLAXO ZEBULON FOODSERVICE,1011 N ARENDELL AVE ,,ZEBULON,NC,27597,(919) 269-1161,1991/08/23 00:00:00+00,Restaurant,877,-78.32837065,35.83184523,M,
4673187,04092110086,Leesville Middle-Elem. Sch. Cafeteria,8406 PRIDE WAY,,RALEIGH,NC,27613-1004,(919) 870-4200 ext. 24607,1991/08/20 00:00:00+00,Public School Lunchrooms,883,-78.7177671,35.88906857,M,
4673188,04092110064,Combs Elementary Cafeteria,1600 LORIMER RD ,,RALEIGH,NC,27606-2626,(919) 233-4300 ext. 21008,1991/09/16 00:00:00+00,Public School Lunchrooms,894,-78.70364737,35.7769291,M,
4673189,04092110065,Athens Drive Sr. High Cafeteria,1420 ATHENS DR ,,RALEIGH,NC,27606-2427,(919) 233-4050 ext. 24891,1991/09/16 00:00:00+00,Public School Lunchrooms,895,-78.71223228,35.768377,M,
4673190,04092110066,Fuquay Elementary Cafeteria,6600 JOHNSON POND RD ,,FUQUAY VARINA,NC,27526-9036,(919) 557-2578,1991/09/16 00:00:00+00,Public School Lunchrooms,898,-78.7581647,35.60302896,M,
4673191,04092110082,Penny Road Elementary Cafeteria,10900 PENNY RD ,,CARY,NC,27518,(919) 387-2143,1991/09/16 00:00:00+00,Public School Lunchrooms,901,-78.79741418,35.71747453,M,
4673192,04092110034,Oberlin Middle School Cafeteria,2816 OBERLIN RD ,,RALEIGH,NC,27608-1220,(919) 881-4860 ext. 23337,1991/09/16 00:00:00+00,Public School Lunchrooms,913,-78.65663748,35.81365658,M,
4673193,04092110003,Broughton High Cafeteria,723 SAINT MARYS ST ,,RALEIGH,NC,27605-1424,(919) 856-7810 ext. 23266,1991/09/16 00:00:00+00,Public School Lunchrooms,912,-78.65350229,35.790761,M,
4673194,04092021170,Snoopy's Hot Dogs & More # 4,3600 Hillsborough St ,,RALEIGH,NC,27607,(919) 755-9022,2003/02/05 00:00:00+00,Food Stand,931,-78.68359538,35.79338984,M,
4673195,04092110001,Northwoods Elementary Cafeteria,8850 CHAPEL HILL RD ,,CARY,NC,27513-3741,(919) 460-3491 ext. 26939,1991/09/16 00:00:00+00,Public School Lunchrooms,918,-78.78956702,35.79556676,M,
4673196,04092021171,Super Target Deli,12000 Retail Dr,,WAKE FOREST,NC,27587,(919) 761-1001,2003/01/29 00:00:00+00,Food Stand,934,-78.54185066,35.97418205,M,
4673197,04092013761,Harris Teeter #257 Deli,2080 Kildaire Farm Rd ,,CARY,NC,27511,(919) 233-9483,2003/01/17 00:00:00+00,Restaurant,937,-78.78068643,35.73567118,M,
4673198,04092013767,Bojangles # 31,10610 Durant Rd ,,RALEIGH,NC,27614,(919) 870-8002,2003/02/18 00:00:00+00,Restaurant,949,-78.59121831,35.90586963,M,
4673199,04092013798,Chili's Grill and Bar #867,115 Carillon Dr ,,GARNER,NC,27529,(919) 771-1700,2003/04/16 00:00:00+00,Restaurant,1015,-78.58321749,35.69333602,M,
4673200,04092013794,Subway #1880,3225 Avent Ferry Rd ,,RALEIGH,NC,27606,(919) 859-2121,2003/05/23 00:00:00+00,Restaurant,1011,-78.69565546,35.76674009,M,
4673201,04092021185,LA TAPATIA BUTCHER SHOP & SNACK BAR,1700 St. Albans Dr,,RALEIGH,NC,27609,(919) 954-4816,2003/04/08 00:00:00+00,Food Stand,1023,-78.61051699,35.83290841,M,
4673202,04092160010,Rex Rehabilitation And Nursing Care Center Cafe,4210 Lake Boone Tra ,,RALEIGH,NC,27609,(919) 784-6632,2003/04/16 00:00:00+00,Institutional Food Service,1049,-78.70241812,35.81817357,M,
4673203,04092160011,Sunrise At North Hills Kitchen,615 Spring Forest Rd ,,RALEIGH,NC,27609,(919) 981-6100,2003/04/21 00:00:00+00,Institutional Food Service,1032,-78.62504989,35.86558665,M,
4673204,04092160013,Hillside Nursing Center Foodservice,968 E Wait Ave,,WAKE FOREST,NC,27587,(919) 556-4082,2003/06/06 00:00:00+00,Institutional Food Service,1058,-78.49470384,35.97149988,M,
4673205,04092013811,Moe's Southwest Grill #150,506 Daniels St,,RALEIGH,NC,27605,(919) 664-6637,2003/06/16 00:00:00+00,Restaurant,1065,-78.66105896,35.79148992,M,
4673206,04092021201,Middle Creek Park,151 Middle Creek Park AVE ,,APEX,NC,27502,(919) 427-9891,2003/06/23 00:00:00+00,Food Stand,1073,-78.76496293,35.66721753,M,
4673207,04092021190,Harris Teeter #112 Deli,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/23 00:00:00+00,Food Stand,1086,-78.78057485,35.80470293,M,
4673208,04092021193,Harris Teeter #112 Meat Market/Seafood,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/24 00:00:00+00,Food Stand,1089,-78.78057485,35.80470293,M,
4673209,04092021196,Harris Teeter #112 Produce,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/24 00:00:00+00,Food Stand,1093,-78.78057485,35.80470293,M,
4673210,04092021198,Food Lion #572 Produce,8320-120 Litchford Rd ,,RALEIGH,NC,27615,(919) 790-8146,2003/06/30 00:00:00+00,Food Stand,1107,-78.59988047,35.89223606,M,
4673211,04092160025,Wellington Nursing Center Kitchen,1000 Tandal Pl,,KNIGHTDALE,NC,27545,(919) 266-7744,2003/06/29 00:00:00+00,Institutional Food Service,1116,-78.50919634,35.79338908,M,
4673212,04092160026,Holly Hill Hospital Kitchen,3019 Falstaff Rd,,RALEIGH,NC,27610,(919) 250-7000,2003/06/28 00:00:00+00,Institutional Food Service,1117,-78.58396915,35.78299275,M,
4673213,04092160021,Woodland Terrace Assisted Living Foodservice,300 Kildaire Woods Dr ,,CARY,NC,27511,(919) 465-0356,2001/09/05 00:00:00+00,Institutional Food Service,1104,-78.77900843,35.76613693,M,
4673214,04092300216,A & C Supermarket Meat Market,3210-131 S Wilmington St ,,RALEIGH,NC,27603,(919) 232-2288,2003/07/09 00:00:00+00,Meat Market,1131,-78.65148932,35.73682477,M,
4673215,04092013834,Smithfield Chicken & Bar-B-Que,12504 Capital BLVD ,,WAKE FOREST,NC,27587,(919) 488-8388,2003/07/10 00:00:00+00,Restaurant,1136,-78.53382082,35.98666429,M,
4673216,04092013835,Starbucks Coffee #8545,125 Weston Pky,,CARY,NC,27513,(919) 677-6104,2003/07/10 00:00:00+00,Restaurant,1138,-78.77115668,35.82699559,M,
4673217,04092021202,Lowes Foods #207 Deli,112 Bass Lake Rd,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 00:00:00+00,Food Stand,1141,-78.824804,35.65380862,M,
4673218,04092021203,Lowes Foods #207 Produce,112 Bass Lake Rd,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 00:00:00+00,Food Stand,1142,-78.824804,35.65380862,M,
4673219,04092021204,Lowes Foods #207 Meats & Seafood,112 Bass Lake Rd ,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 00:00:00+00,Food Stand,1144,-78.824804,35.65380862,M,
4673220,04092160031,Tower Nursing and Rehabilitation Center Kitchen,3609 Bond St,,RALEIGH,NC,27604,(919) 231-8113,2003/07/10 00:00:00+00,Institutional Food Service,1146,-78.58154882,35.80357742,M,
4673221,04092160043,Universal Health Care Of N.Ral Foodservice,5201 Clarks Fork Dr,,RALEIGH,NC,27616,(919) 872-7033,2003/07/10 00:00:00+00,Institutional Food Service,1147,-78.5554995,35.89053506,M,
4673222,04092012835,Mcdonald's #17721,900 US 64 HWY W ,,APEX,NC,27523,(919) 380-0906,1998/11/16 00:00:00+00,Restaurant,1156,-78.82150684,35.7445101,M,
4673223,04092110093,Durant Road Elem. Cafeteria,9901 DURANT RD ,YEAR ROUND,RALEIGH,NC,27614-9369,(919) 870-4210,1992/07/02 00:00:00+00,Public School Lunchrooms,1352,-78.5804454,35.89960631,M,
4673224,04092110090,Pleasant Union Elem.School Cafet.,1900 PLEASANT UNION CHURCH RD ,,RALEIGH,NC,27614-7103,(919) 870-4230 ext. 20424,1992/08/20 00:00:00+00,Public School Lunchrooms,1348,-78.67272921,35.95029497,M,
4673225,04092020607,DOMINOS PIZZA #8940,1368 N MAIN ST ,,FUQUAY VARINA,NC,27526-2617,(919) 557-5551,1994/05/20 00:00:00+00,Food Stand,1364,-78.7753337,35.59075371,M,
4673226,04092110088,Willow Spring Elem.Cafet.,6800 DWIGHT ROWLAND RD,,WILLOW SPRING,NC,27592-9342,(919) 557-2957,1992/08/06 00:00:00+00,Public School Lunchrooms,1356,-78.72847454,35.59342763,M,
4673227,04092011278,Hardees #1638,403 S Main St ,,ROLESVILLE,NC,27571-9664,(919) 554-2720,1993/05/07 00:00:00+00,Restaurant,1421,-78.46490536,35.91816505,M,
4673228,04092300050,Harris Teeter #38 Meat Market ,5563 WESTERN BLVD ,,RALEIGH,NC,27606-1595,(919) 859-0110,1991/08/26 00:00:00+00,Meat Market,1441,-78.72050862,35.78412834,M,
4673229,04092011678,McDonald's #14961,4413 Capital BLVD ,,RALEIGH,NC,27604-4314,(919) 878-0155,1995/04/22 00:00:00+00,Restaurant,1482,-78.58053199,35.8441304,M,
4673230,04092300052,Harris Teeter #289 Meat Market,2603 GLENWOOD AVE ,,RALEIGH,NC,27608-1044,(919) 787-5526,1991/08/26 00:00:00+00,Meat Market,1443,-78.66059971,35.81550158,M,
4673231,04092011620,Legislative Bldg Snack Bar,16 W Jones St ,,RALEIGH,NC,27601-1030,,1995/01/10 00:00:00+00,Restaurant,1485,-78.63894782,35.78320992,M,
4673232,04092011649,DANNY'S BARBEQUE,311 ASHVILLE AVE ,,CARY,NC,27518,(919) 851-5541,1995/03/01 00:00:00+00,Restaurant,1520,-78.78493552,35.73790444,M,
4673233,04092011619,Legislative Bldg Cafeteria,16 W Jones St ,,RALEIGH,NC,27601-1030,(919) 733-6032,1995/01/10 00:00:00+00,Restaurant,1560,-78.63894782,35.78320992,M,
4673234,04092011623,Jose and Sons Mexican Kitchen & Bar,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 571-1188,1995/01/10 00:00:00+00,Restaurant,1555,-78.70472779,35.86043849,M,
4673235,04092110096,Davis Drive Elem. Sch. Cafeteria,2151 DAVIS DR,,CARY,NC,27519-9276,(919) 387-2135,1994/07/19 00:00:00+00,Public School Lunchrooms,1586,-78.85122642,35.77869302,M,
4673236,04092300004,Larry's Supermarket - Meat Market,2041 MILBURNIE RD ,,RALEIGH,NC,27610-2211,(919) 834-0152,1991/12/05 00:00:00+00,Meat Market,1660,-78.61292832,35.78878125,M,
4673237,04092110079,Fox Road Elementary Cafeteria,7101 Fox Rd,,RALEIGH,NC,27616-6353,(919) 850-8845 ext. 23935,1991/10/28 00:00:00+00,Public School Lunchrooms,1692,-78.55535542,35.87372365,M,
4673238,04092110038,Powell Center For Play & Ingenuity Magnet Elementary,1130 MARLBOROUGH RD ,,RALEIGH,NC,27610-1125,(919) 856-7737 ext. 26340,1991/10/28 00:00:00+00,Public School Lunchrooms,1693,-78.6029279,35.7951715,M,
4673239,04092110015,Enloe High School Cafeteria,128 CLARENDON CRES ,,RALEIGH,NC,27610-2408,(919) 856-7918 ext. 24684,1991/10/28 00:00:00+00,Public School Lunchrooms,1690,-78.60333824,35.78424366,M,
4673240,04092110076,Wendell Elem School Cafeteria,3355 WENDELL BLVD ,,WENDELL,NC,27591-7289,(919) 365-2660 ext. 22751,1991/10/28 00:00:00+00,Public School Lunchrooms,1698,-78.37227697,35.78542374,M,
4673241,04092110059,Lockhart Elementary Cafeteria,1320 N SMITHFIELD RD ,,KNIGHTDALE,NC,27545-7726,(919) 266-8525 ext. 26483,1991/10/28 00:00:00+00,Public School Lunchrooms,1694,-78.48454643,35.80325299,M,
4673242,04092110077,Zebulon Elem. School Cafeteria,700 PROCTOR ST ,,ZEBULON,NC,27597-8726,(919) 404-3680 ext. 21213,1991/10/28 00:00:00+00,Public School Lunchrooms,1699,-78.31958565,35.83895531,M,
4673243,04092110078,Zebulon Middle School Cafeteria,1000 SHEPARD SCHOOL RD ,,ZEBULON,NC,27597-2770,(919) 404-3630 ext. 21113,1991/10/28 00:00:00+00,Public School Lunchrooms,1700,-78.31172007,35.83148632,M,
4673244,04092010922,Seaboard Cafe,707A Seamart Dr ,,RALEIGH,NC,27604,(919) 821-7553,1991/10/23 00:00:00+00,Restaurant,1735,-78.6406953,35.79007692,M,
4673245,04092010975,Cup A Joe,3100 HILLSBOROUGH ST,,RALEIGH,NC,27607-5437,(919) 828-9665,1991/10/23 00:00:00+00,Restaurant,1719,-78.67755529,35.79005017,M,
4673246,04092110014,Brentwood Elementary Cafeteria,3426 Ingram Dr,,RALEIGH,NC,27604-2536,(919) 850-8720 ext. 26311,1991/09/18 00:00:00+00,Public School Lunchrooms,1747,-78.59691523,35.82925374,M,
4673247,04092110107,Baileywick Elem Sch. Cafet.,9425 BAILEYWICK RD ,,RALEIGH,NC,27615-1912,(919) 518-0090 ext. 25644,1997/03/07 00:00:00+00,Public School Lunchrooms,1941,-78.66473205,35.90916355,M,
4673248,04092110116,Reedy Creek Elem. Cafeteria,940 REEDY CREEK RD ,,CARY,NC,27513-3046,(919) 380-3660 ext. 21684,1999/08/04 00:00:00+00,Public School Lunchrooms,1943,-78.76818761,35.81272933,M,
4673249,04092110117,Green Hope High Sch. Cafeteria,2500 Carpenter Upchurch RD ,,CARY,NC,27519,(919) 380-3684,1999/08/12 00:00:00+00,Public School Lunchrooms,1944,-78.86673632,35.80474692,M,
4673250,04092110118,Wakefield Middle Cafeteria,2300 Wakefield Pines Dr,,RALEIGH,NC,27614,(919) 562-3530,1999/08/11 00:00:00+00,Public School Lunchrooms,1945,-78.57023956,35.94594014,M,
4673251,04092110120,Wildwood Forest Elem. Sch. Cafeteria,8401 Wildwood Forest Dr ,,RALEIGH,NC,27616-5700,(919) 713-0600 ext. 24271,1999/08/13 00:00:00+00,Public School Lunchrooms,1947,-78.55112466,35.89352164,M,
4673252,04092110115,Wakefield Elementary Cafeteria,2400 Wakefield Pines Dr,,RALEIGH,NC,27614,(919) 562-3565,1999/06/30 00:00:00+00,Public School Lunchrooms,1942,-78.56642556,35.9464996,M,
4673253,04092011955,Pam's Farmhouse Restaurant,5111 Western BLVD ,,RALEIGH,NC,27603,(919) 859-9990,1996/11/07 00:00:00+00,Restaurant,1948,-78.7118452,35.78599159,M,
4673254,04092090009,Morrisville Meals On Wheels,922 CHURCH ST,,MORRISVILLE,NC,27560-8729,(919) 467-7186,1994/06/29 00:00:00+00,Elderly Nutrition Sites (catered),1985,-78.84266258,35.85142882,M,
4673255,04092110099,Oak Grove Elem. Sch Cafeteria,10401 Penny Rd,,RALEIGH,NC,27606,(919) 387-4490 ext. 22932,1995/07/21 00:00:00+00,Public School Lunchrooms,1993,-78.78318493,35.7136031,M,
4673256,04092110100,Weatherstone Elem. Sch. Cafeteria,1000 Olde Weatherstone Way ,,CARY,NC,27513,(919) 380-6985,1995/09/05 00:00:00+00,Public School Lunchrooms,1996,-78.81014084,35.79244392,M,
4673257,04092110097,Davis Drive Middle Sch. Cafeteria,2101 DAVIS DR,,CARY,NC,27519-9276,(919) 387-3038,1995/05/01 00:00:00+00,Public School Lunchrooms,2042,-78.85122642,35.77869302,M,
4673258,04092090012,Pine Acres Meals On Wheels,402 MCLEAN ST ,,FUQUAY VARINA,NC,27526-1640,(919) 552-5825,1998/07/02 00:00:00+00,Elderly Nutrition Sites (catered),2089,-78.80691385,35.59304997,M,
4673259,04092010872,Wake Med Kitchen,3000 NEW BERN AVE,,RALEIGH,NC,27610-1231,(919) 350-8042,1992/02/12 00:00:00+00,Restaurant,2110,-78.58796431,35.78391192,M,
4673260,04092011062,Char-Grill,4617 Atlantic Ave,,RALEIGH,NC,27604-8103,(919) 954-9556,1992/03/10 00:00:00+00,Restaurant,2132,-78.60292756,35.84801798,M,
